time,x ang vel,y ang vel,z ang vel,x accel,y accel,z accel,x mag,y mag,z mag
1.481000, -1.621353, 1.023582, -1.300227, 11.673677, 4.368521, 1.860039, 0.000024, -0.000030, 0.000034
1.482000, -1.625427, 0.986754, -1.471513, 11.692729, 4.223373, 1.880480, 0.000024, -0.000030, 0.000034
1.483000, -1.607599, 1.214143, -1.270188, 11.680606, 4.330846, 1.810512, 0.000024, -0.000030, 0.000034
1.484000, -1.662878, 1.116502, -1.414844, 11.835419, 4.322839, 1.752243, 0.000024, -0.000030, 0.000034
1.485000, -1.572006, 1.258341, -1.190530, 11.605068, 4.389525, 1.953712, 0.000024, -0.000030, 0.000034
1.486000, -1.691133, 1.187975, -1.473266, 11.616253, 4.464700, 1.817577, 0.000024, -0.000030, 0.000034
1.487000, -1.593530, 1.034679, -1.486860, 11.666368, 4.617358, 1.930579, 0.000024, -0.000030, 0.000034
1.488000, -1.894931, 1.255475, -1.417801, 11.735422, 4.476618, 1.930546, 0.000024, -0.000030, 0.000034
1.489000, -1.862335, 1.409049, -1.108929, 11.687589, 4.446999, 1.782696, 0.000024, -0.000030, 0.000034
1.490000, -1.755686, 1.120848, -1.422426, 11.731143, 4.543480, 1.757710, 0.000024, -0.000030, 0.000034
1.491000, -1.768184, 1.128882, -1.328536, 11.709181, 4.694893, 1.917194, 0.000024, -0.000030, 0.000034
1.492000, -1.590745, 1.355936, -1.333224, 11.788861, 4.484629, 1.805440, 0.000024, -0.000030, 0.000034
1.493000, -1.764209, 0.915894, -1.227321, 11.690798, 4.544617, 1.774932, 0.000024, -0.000030, 0.000034
1.494000, -1.553608, 1.131163, -1.277575, 11.766607, 4.736918, 1.831784, 0.000024, -0.000030, 0.000034
1.495000, -1.558936, 0.878786, -1.212306, 11.644898, 4.712911, 1.832849, 0.000024, -0.000030, 0.000034
1.496000, -1.657013, 1.019481, -1.121037, 11.538322, 4.790335, 1.789217, 0.000024, -0.000030, 0.000034
1.497000, -1.602175, 1.267030, -1.193805, 11.537970, 4.938638, 1.784902, 0.000024, -0.000030, 0.000034
1.498000, -1.803564, 1.245059, -1.421806, 11.643051, 4.794328, 1.732843, 0.000024, -0.000030, 0.000034
1.499000, -1.548004, 1.237398, -1.223565, 11.537335, 4.834414, 1.807854, 0.000024, -0.000031, 0.000034
1.500000, -2.052153, 0.979214, -1.399208, 11.572312, 5.052494, 1.742362, 0.000024, -0.000031, 0.000034
1.501000, -1.713171, 1.219146, -1.475606, 11.595018, 4.902450, 1.678844, 0.000024, -0.000031, 0.000034
1.502000, -1.738766, 1.011176, -1.583494, 11.508260, 4.927540, 1.778904, 0.000024, -0.000031, 0.000034
1.503000, -2.028954, 1.179793, -1.411394, 11.418214, 4.960205, 1.815806, 0.000024, -0.000031, 0.000034
1.504000, -1.910580, 1.071143, -1.490123, 11.506266, 4.965143, 1.847979, 0.000024, -0.000031, 0.000034
1.505000, -1.905483, 0.757130, -1.239447, 11.554299, 5.001540, 1.869415, 0.000024, -0.000031, 0.000034
1.506000, -1.591347, 1.001924, -1.352597, 11.486637, 5.046621, 1.845990, 0.000024, -0.000031, 0.000034
1.507000, -1.844760, 1.208572, -1.406666, 11.415422, 5.057891, 1.644775, 0.000024, -0.000031, 0.000034
1.508000, -1.652125, 1.058900, -1.524195, 11.555130, 5.090069, 1.814239, 0.000024, -0.000031, 0.000034
1.509000, -1.663084, 1.190049, -1.168899, 11.454545, 5.244619, 1.710594, 0.000024, -0.000031, 0.000034
1.510000, -1.987933, 1.077168, -1.435416, 11.367330, 5.221145, 1.730587, 0.000024, -0.000031, 0.000033
1.511000, -1.724722, 1.047433, -1.240001, 11.394421, 5.192211, 1.797542, 0.000024, -0.000031, 0.000034
1.512000, -1.963670, 1.132531, -1.555458, 11.325243, 5.354469, 1.824769, 0.000024, -0.000031, 0.000034
1.513000, -1.888220, 1.170020, -1.209031, 11.448979, 5.339835, 1.863186, 0.000024, -0.000031, 0.000034
1.514000, -1.684475, 1.082358, -1.735490, 11.464204, 5.299468, 1.773741, 0.000024, -0.000031, 0.000034
1.515000, -1.927635, 0.997745, -1.558092, 11.246027, 5.378053, 1.861082, 0.000024, -0.000031, 0.000033
1.516000, -1.691717, 1.178219, -1.258670, 11.371607, 5.476073, 1.800261, 0.000024, -0.000031, 0.000033
1.517000, -1.753245, 0.917394, -1.375701, 11.327193, 5.413301, 1.921496, 0.000024, -0.000031, 0.000033
1.518000, -2.128862, 1.038239, -1.352392, 11.385610, 5.450176, 1.692685, 0.000024, -0.000031, 0.000033
1.519000, -1.583099, 0.995196, -1.586409, 11.404112, 5.402384, 1.803962, 0.000024, -0.000031, 0.000033
1.520000, -1.532585, 0.949692, -1.151945, 11.253544, 5.612756, 1.645012, 0.000024, -0.000031, 0.000033
1.521000, -2.005599, 0.911397, -1.373477, 11.307318, 5.570431, 1.819782, 0.000024, -0.000031, 0.000033
1.522000, -1.932997, 0.627389, -1.121750, 11.296918, 5.458283, 1.756546, 0.000024, -0.000031, 0.000033
1.523000, -1.697891, 0.801318, -1.356873, 11.201030, 5.588338, 1.752257, 0.000024, -0.000031, 0.000033
