Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K)
293.4,6.5,808.99,0.0012361,202.98,211.01,0.86138,0.92142,2.7554,440.17,0.84422,72.174,0.083784
293.43,6.5,808.77,0.0012364,203.05,211.09,0.86165,0.92146,2.7574,439.89,0.84586,72.136,0.083752
293.46,6.5,808.55,0.0012368,203.13,211.17,0.86191,0.92151,2.7594,439.61,0.8475,72.097,0.083719
293.49,6.5,808.33,0.0012371,203.2,211.25,0.86217,0.92156,2.7614,439.32,0.84915,72.059,0.083686
293.52,6.5,808.1,0.0012375,203.28,211.32,0.86243,0.92161,2.7635,439.04,0.8508,72.021,0.083653
293.54,6.5,807.88,0.0012378,203.35,211.4,0.86269,0.92166,2.7655,438.75,0.85245,71.983,0.083621
293.57,6.5,807.66,0.0012381,203.43,211.48,0.86296,0.92171,2.7675,438.47,0.85411,71.945,0.083588
293.6,6.5,807.44,0.0012385,203.5,211.55,0.86322,0.92176,2.7696,438.18,0.85577,71.906,0.083555
293.63,6.5,807.21,0.0012388,203.58,211.63,0.86348,0.92181,2.7716,437.9,0.85744,71.868,0.083523
293.65,6.5,806.99,0.0012392,203.65,211.71,0.86374,0.92186,2.7737,437.61,0.85911,71.83,0.08349
293.68,6.5,806.77,0.0012395,203.73,211.78,0.86401,0.92191,2.7757,437.32,0.86079,71.791,0.083457
293.71,6.5,806.54,0.0012399,203.8,211.86,0.86427,0.92196,2.7778,437.04,0.86247,71.753,0.083424
293.74,6.5,806.32,0.0012402,203.88,211.94,0.86453,0.92201,2.7799,436.75,0.86416,71.715,0.083392
293.77,6.5,806.09,0.0012406,203.95,212.02,0.8648,0.92206,2.782,436.46,0.86585,71.676,0.083359
293.79,6.5,805.87,0.0012409,204.03,212.09,0.86506,0.92211,2.784,436.17,0.86754,71.638,0.083326
293.82,6.5,805.64,0.0012412,204.1,212.17,0.86532,0.92216,2.7861,435.89,0.86924,71.599,0.083293
293.85,6.5,805.42,0.0012416,204.18,212.25,0.86559,0.92221,2.7883,435.6,0.87094,71.561,0.08326
293.88,6.5,805.19,0.0012419,204.25,212.33,0.86585,0.92226,2.7904,435.31,0.87265,71.522,0.083228
293.9,6.5,804.97,0.0012423,204.33,212.4,0.86612,0.92231,2.7925,435.02,0.87437,71.484,0.083195
293.93,6.5,804.74,0.0012426,204.4,212.48,0.86638,0.92237,2.7946,434.73,0.87608,71.445,0.083162
293.96,6.5,804.51,0.001243,204.48,212.56,0.86665,0.92242,2.7968,434.44,0.87781,71.407,0.083129
293.99,6.5,804.29,0.0012433,204.56,212.64,0.86691,0.92247,2.7989,434.15,0.87953,71.368,0.083096
294.02,6.5,804.06,0.0012437,204.63,212.72,0.86718,0.92252,2.8011,433.86,0.88127,71.329,0.083064
294.04,6.5,803.83,0.001244,204.71,212.79,0.86744,0.92257,2.8032,433.57,0.883,71.291,0.083031
294.07,6.5,803.61,0.0012444,204.78,212.87,0.86771,0.92263,2.8054,433.28,0.88475,71.252,0.082998
294.1,6.5,803.38,0.0012447,204.86,212.95,0.86797,0.92268,2.8076,432.99,0.88649,71.213,0.082965
294.13,6.5,803.15,0.0012451,204.93,213.03,0.86824,0.92273,2.8098,432.7,0.88825,71.175,0.082932
294.16,6.5,802.92,0.0012455,205.01,213.11,0.8685,0.92279,2.812,432.41,0.89,71.136,0.082899
294.18,6.5,802.69,0.0012458,205.09,213.18,0.86877,0.92284,2.8142,432.12,0.89176,71.097,0.082866
294.21,6.5,802.46,0.0012462,205.16,213.26,0.86904,0.92289,2.8164,431.83,0.89353,71.058,0.082834
294.24,6.5,802.23,0.0012465,205.24,213.34,0.8693,0.92295,2.8186,431.53,0.8953,71.019,0.082801
294.27,6.5,802,0.0012469,205.32,213.42,0.86957,0.923,2.8209,431.24,0.89708,70.981,0.082768
294.29,6.5,801.77,0.0012472,205.39,213.5,0.86984,0.92305,2.8231,430.95,0.89886,70.942,0.082735
294.32,6.5,801.54,0.0012476,205.47,213.58,0.8701,0.92311,2.8253,430.66,0.90065,70.903,0.082702
294.35,6.5,801.31,0.001248,205.54,213.66,0.87037,0.92316,2.8276,430.36,0.90244,70.864,0.082669
294.38,6.5,801.08,0.0012483,205.62,213.73,0.87064,0.92322,2.8299,430.07,0.90424,70.825,0.082636
294.41,6.5,800.85,0.0012487,205.7,213.81,0.87091,0.92327,2.8321,429.78,0.90604,70.786,0.082603
294.43,6.5,800.62,0.001249,205.77,213.89,0.87117,0.92333,2.8344,429.48,0.90784,70.747,0.08257
294.46,6.5,800.39,0.0012494,205.85,213.97,0.87144,0.92338,2.8367,429.19,0.90966,70.708,0.082537
294.49,6.5,800.16,0.0012498,205.93,214.05,0.87171,0.92344,2.839,428.89,0.91147,70.669,0.082504
294.52,6.5,799.92,0.0012501,206,214.13,0.87198,0.92349,2.8413,428.6,0.9133,70.63,0.082472
294.54,6.5,799.69,0.0012505,206.08,214.21,0.87225,0.92355,2.8436,428.3,0.91512,70.591,0.082439
294.57,6.5,799.46,0.0012508,206.16,214.29,0.87252,0.92361,2.846,428.01,0.91696,70.552,0.082406
294.6,6.5,799.22,0.0012512,206.23,214.37,0.87278,0.92366,2.8483,427.71,0.9188,70.513,0.082373
294.63,6.5,798.99,0.0012516,206.31,214.45,0.87305,0.92372,2.8507,427.41,0.92064,70.473,0.08234
294.66,6.5,798.76,0.0012519,206.39,214.53,0.87332,0.92378,2.853,427.12,0.92249,70.434,0.082307
294.68,6.5,798.52,0.0012523,206.46,214.6,0.87359,0.92383,2.8554,426.82,0.92434,70.395,0.082274
294.71,6.5,798.29,0.0012527,206.54,214.68,0.87386,0.92389,2.8578,426.52,0.9262,70.356,0.082241
294.74,6.5,798.05,0.001253,206.62,214.76,0.87413,0.92395,2.8601,426.22,0.92807,70.316,0.082208
294.77,6.5,797.82,0.0012534,206.7,214.84,0.8744,0.92401,2.8625,425.93,0.92994,70.277,0.082175
294.8,6.5,797.58,0.0012538,206.77,214.92,0.87467,0.92406,2.8649,425.63,0.93182,70.238,0.082142
294.82,6.5,797.35,0.0012542,206.85,215,0.87494,0.92412,2.8674,425.33,0.9337,70.198,0.082109
294.85,6.5,797.11,0.0012545,206.93,215.08,0.87521,0.92418,2.8698,425.03,0.93558,70.159,0.082076
294.88,6.5,796.87,0.0012549,207.01,215.16,0.87549,0.92424,2.8722,424.73,0.93748,70.12,0.082043
294.91,6.5,796.64,0.0012553,207.08,215.24,0.87576,0.9243,2.8747,424.43,0.93938,70.08,0.08201
294.93,6.5,796.4,0.0012556,207.16,215.32,0.87603,0.92436,2.8771,424.13,0.94128,70.041,0.081977
294.96,6.5,796.16,0.001256,207.24,215.4,0.8763,0.92442,2.8796,423.83,0.94319,70.001,0.081944
294.99,6.5,795.93,0.0012564,207.32,215.48,0.87657,0.92448,2.882,423.53,0.9451,69.962,0.08191
295.02,6.5,795.69,0.0012568,207.39,215.56,0.87684,0.92454,2.8845,423.23,0.94703,69.922,0.081877
