t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma
133,0,0,1.1902372834331187,0,0,-2.6334764627124487,77.21344260692784,0,0,12.86560883723545,12.865608838568232
134,0,0,1.0585634602975005,0,0,-2.480696020850694,77.1853188946081,0,0,12.87143214486096,12.871432146197417
135,0,0,0.9345286592549739,0,0,-2.3276244136076643,77.15719270331756,0,0,12.877159988810966,12.877159990150531
136,0,0,0.8181474385746064,0,0,-2.174266414167134,77.12906425172349,0,0,12.882790574365616,12.882790575708169
137,0,0,0.7094341178662431,0,0,-2.020626885448872,77.10093376210416,0,0,12.888322320651778,12.88832232199504
138,0,0,0.6084027735938082,0,0,-1.866710769416302,77.07280145987563,0,0,12.893753863456368,12.893753864800694
139,0,0,0.515067235123006,0,0,-1.7125230762435026,77.04466757311268,0,0,12.899084058150553,12.89908405949449
140,0,0,0.42944108131084185,0,0,-1.5580688733359942,77.01653233206423,0,0,12.904311985581359,12.904311986924684
141,0,0,0.351537637644045,0,0,-1.4033532740569459,76.98839596865736,0,0,12.9094369600953,12.909436961437478
142,0,0,0.28136997394121077,0,0,-1.2483814260522006,76.96025871598475,0,0,12.914458541508868,12.91445854284988
143,0,0,0.2189509026386088,0,0,-1.093158498976777,76.9321208077672,0,0,12.919376551837248,12.919376553176349
144,0,0,0.16429297768978285,0,0,-0.937689671384935,76.90398247778046,0,0,12.924191096557502,12.924191097894111
145,0,0,0.11740849412054585,0,0,-0.7819801165570802,76.87584395923827,0,0,12.92890259270029,12.92890259403512
146,0,0,0.07830948829269554,0,0,-0.6260349869220865,76.84770548411454,0,0,12.933511804508969,12.933511805841281
147,0,0,0.0470077389466002,0,0,-0.469859396696659,76.81956728238917,0,0,12.938019888154566,12.938019889484968
148,0,0,0.023514769111770358,0,0,-0.31345840228895194,76.7914295811996,0,0,12.942428446844882,12.94242844817456
149,0,0,0.007841848997326878,0,0,-0.15683697994672924,76.76329260387328,0,0,12.94673959893545,12.946739600263252
150,0,0,-0.000000000000004792404039964826,0,0,0.000000000000021621226325086228,76.73515656881503,0,0,0,0
