time,x,y,z,vx,vy,vz,m,att_x,att_y,att_z,thrust,gimbal_a,gimbal_b,R1,R2
1.840000000000000213e+01,-6.429894215327551163e-03,1.685185948598044367e-02,4.998599581638429434e+00,-2.177587056880690708e-02,7.708880672722408581e-03,1.840481388950673250e-03,8.323598218256761383e-01,-6.126758525909678510e-02,-1.638139430022711451e-02,-1.651562101137164437e-02,8.175632704080500801e+00,-4.064741267132366762e-03,5.685104198003648746e-02,4.822227070464776139e-02,4.268479451625305232e-02
1.850000000000000000e+01,-8.503462971272194443e-03,1.738868146944488532e-02,4.998821115495728051e+00,-2.073568755944642933e-02,5.368219834644418278e-03,2.215338572988817707e-03,8.315432406117621023e-01,-6.254127221486512067e-02,-2.681747706316794932e-02,-1.631419682735360532e-02,8.165812139140427917e+00,-1.434473133108215247e-02,5.912696510169949959e-02,5.129658912599609905e-02,3.961313700285185729e-02
1.860000000000000142e+01,-1.044523582586503324e-02,1.768346322247702634e-02,4.999026744107107234e+00,-1.941772854592839145e-02,2.947817530321417134e-03,2.056286113789840015e-03,8.307279039363669737e-01,-6.283136680001522034e-02,-3.685451241387660559e-02,-1.611248950384911935e-02,8.153366753951305057e+00,-2.448964850773775737e-02,6.048100340159816984e-02,5.399219987239129576e-02,3.692018999893140196e-02
1.869999999999999929e+01,-1.222190748807517983e-02,1.773068784145693036e-02,4.999216417340119456e+00,-1.776671662210145899e-02,4.722461897990548954e-04,1.896732330120360233e-03,8.299133666384674868e-01,-6.213184416098764540e-02,-4.633542042470328859e-02,-1.592614956754745750e-02,8.145372978995283120e+00,-3.419341987582562303e-02,6.086559957661142467e-02,5.614768386255267196e-02,3.476568432205757314e-02
1.880000000000000071e+01,-1.380552586593952399e-02,1.752916193950018048e-02,4.999391973886313956e+00,-1.583618377864344506e-02,-2.015259019567508785e-03,1.755565461944086662e-03,8.290996123273854934e-01,-6.045179792021834753e-02,-5.511135752431939316e-02,-1.576992599611709567e-02,8.137543110819503767e+00,-4.341021901331591770e-02,6.029362078480419301e-02,5.763443395711576045e-02,3.327991670092647625e-02
1.890000000000000213e+01,-1.517221442050717926e-02,1.708163346285114861e-02,4.999549442326172155e+00,-1.366688554567654923e-02,-4.475284766490312573e-03,1.574684398577742232e-03,8.282866885157950110e-01,-5.781556845745505768e-02,-6.304432677043503297e-02,-1.565671097199050621e-02,8.129238115904463768e+00,-5.197648754197218418e-02,5.876904291248940398e-02,5.836474447414963240e-02,3.255060684348280720e-02
1.900000000000000000e+01,-1.630164956355065198e-02,1.639362919678271149e-02,4.999669192627149705e+00,-1.129435143043473755e-02,-6.880042660684381611e-03,1.197503009771692939e-03,8.274747241263543662e-01,-5.426279781806711555e-02,-7.000952748495348210e-02,-1.559669609932559306e-02,8.119643894406143758e+00,-5.974799737786477827e-02,5.630366792182515956e-02,5.829834064658024478e-02,3.261799520818811637e-02
1.910000000000000142e+01,-1.717512972997889062e-02,1.547651018717590907e-02,4.999749147585893283e+00,-8.734801664282393352e-03,-9.171190096068026001e-03,7.995495874379316163e-04,8.266635728030679031e-01,-4.984711903514957299e-02,-7.589733430346212728e-02,-1.559670753157720371e-02,8.111513232865107170e+00,-6.657815212069104205e-02,5.296926387071685532e-02,5.744318738948497871e-02,3.347412701292324516e-02
1.920000000000000284e+01,-1.777834767060099477e-02,1.434552514278816804e-02,4.999829668836803798e+00,-6.032179406221028529e-03,-1.130985044387740335e-02,8.052125091070633928e-04,8.258528830026961032e-01,-4.463560887414376455e-02,-8.061412690704905515e-02,-1.565979623568654680e-02,8.106898003717603274e+00,-7.238808823865221231e-02,4.879934516553768170e-02,5.585604578246829155e-02,3.506394870538691311e-02
1.930000000000000071e+01,-1.810344503198376212e-02,1.301635002057443397e-02,4.999848880252025118e+00,-3.250973613827688648e-03,-1.329175122213733205e-02,1.921141522142742362e-04,8.250434993048507692e-01,-3.870956866754305531e-02,-8.408527268896692775e-02,-1.578493537463295654e-02,8.093836978453154529e+00,-7.709898875993830003e-02,4.382382917751420637e-02,5.363817143089300715e-02,3.728450432731639230e-02
1.940000000000000213e+01,-1.814549789904431470e-02,1.150995113876584000e-02,4.999815866313998214e+00,-4.205286706055176051e-04,-1.506398881808593271e-02,-3.301393802649064957e-04,8.242348341308486370e-01,-3.216103001600198463e-02,-8.625472082537344320e-02,-1.596713452421343396e-02,8.086651740021492785e+00,-8.060462353279128356e-02,3.817688516733973997e-02,5.092909510786056138e-02,3.999629005414898769e-02
1.950000000000000000e+01,-1.790367641402784010e-02,9.848937138406309300e-03,4.999751813194854400e+00,2.418214850164759466e-03,-1.661014000359531395e-02,-6.405311914355555150e-04,8.234267873188565456e-01,-2.509245447923157124e-02,-8.708640395535449663e-02,-1.619770875946632133e-02,8.080468119920395154e+00,-8.286041033942344314e-02,3.190857360692023886e-02,4.789602846035127814e-02,4.303212865748611005e-02
1.960000000000000142e+01,-1.738171608515041988e-02,8.058175208273942250e-03,4.999682322098833787e+00,5.219603288774219557e-03,-1.790761930132366703e-02,-6.949109602081583997e-04,8.226193223073504646e-01,-1.761494016512090213e-02,-8.656489129631994572e-02,-1.646481137029350353e-02,8.074650115061066558e+00,-8.383394084497003407e-02,2.512738362063914738e-02,4.472568994209307619e-02,4.620637435841240537e-02
1.970000000000000284e+01,-1.658765418358813803e-02,6.165737075150478849e-03,4.999601725682565778e+00,7.940619015622835813e-03,-1.892438133123463401e-02,-8.059641626759798342e-04,8.218126961873498670e-01,-9.846260439014167809e-03,-8.469622960561817848e-02,-1.675417369363016440e-02,8.066261200005776288e+00,-8.350572168495483394e-02,1.795179978748464092e-02,4.160874054865561222e-02,4.932631352377776085e-02
1.980000000000000071e+01,-1.553363629175206345e-02,4.200583068631856196e-03,4.999512333784346119e+00,1.054017891836074063e-02,-1.965154006518622307e-02,-8.939189821975458998e-04,8.210068425153084215e-01,-1.908961680877150485e-03,-8.150733853401126439e-02,-1.705003183094241925e-02,8.058536720414178234e+00,-8.188090291415127397e-02,1.047468709300331847e-02,3.873340815710824697e-02,5.220478313972670009e-02
1.990000000000000213e+01,-1.423761896265430746e-02,2.195201842729233108e-03,4.999355871146683228e+00,1.296017329097756861e-02,-2.005381225902623174e-02,-1.564626376627488262e-03,8.202022580336645330e-01,6.072172242348169990e-03,-7.704625795643971209e-02,-1.733613006778976159e-02,8.045844816439061020e+00,-7.900015205527154138e-02,2.842671031257664599e-03,3.627256963907129345e-02,5.466889865812806643e-02
2.000000000000000000e+01,-1.959431793503431732e-02,9.707633102513142306e-03,4.935817089914547040e+00,-5.356698972380009860e-02,7.512431259783908244e-02,-6.353878123213617668e-01,8.199022580365831203e-01,1.560192770177311859e-02,-7.108277377185245882e-02,-1.758445662542736793e-02,2.999999970814191563e+00,-2.617993964107951932e-01,2.617993969692490874e-01,3.658748646499905555e-02,5.435929533209829523e-02
2.010000000000000142e+01,-3.185146185234614957e-02,1.855159862136969429e-02,4.810787040908845569e+00,-1.225714391731183434e-01,8.843965518856553021e-02,-1.250300490057012492e+00,8.196022580395463386e-01,2.527738908396845452e-02,-6.356475605569134046e-02,-1.776023595374600500e-02,2.999999970368123048e+00,-2.617993971311114443e-01,2.536640092727254769e-02,3.710236209307170990e-02,5.384547723012200748e-02
2.020000000000000284e+01,-5.074095702905603855e-02,1.861888096821514432e-02,4.624689804079317845e+00,-1.888949517670988620e-01,6.728234684545142397e-04,-1.860972368295275903e+00,8.193022580423838797e-01,3.339884636707482479e-02,-5.454364978315817680e-02,-1.783797617819444375e-02,2.999999971624370154e+00,-2.617993966056636479e-01,-2.617993945311408166e-01,3.887779819709338142e-02,5.207343267094721034e-02
2.030000000000000071e+01,-5.807313032303386413e-02,1.211376436136251539e-02,4.379456477769800848e+00,-7.332173293977822803e-02,-6.505116606852627548e-02,-2.452333263095166416e+00,8.190022580450859735e-01,4.021022399169705414e-02,-4.703291175756407760e-02,-1.791051048800131745e-02,2.999999972978683704e+00,2.617993967661118027e-01,-2.203928223737247061e-01,4.219569484095277850e-02,4.875825279851963429e-02
2.040000000000000213e+01,-5.848779773785087177e-02,6.384064532772060901e-03,4.078975797958431571e+00,-4.146674148170076402e-03,-5.729699828590454486e-02,-3.004806798113694999e+00,8.187022580475988853e-01,4.685244707897755212e-02,-4.032243454350004086e-02,-1.796460637523436543e-02,2.999999974871383035e+00,1.338766146203706486e-01,-2.806113637178277512e-02,4.684923251012581419e-02,4.410746592344168271e-02
2.050000000000000000e+01,-5.238561292051586993e-02,-7.062582313585688207e-03,3.729553515700821276e+00,6.102184817335001843e-02,-1.344664684635774876e-01,-3.494222822576101617e+00,8.183710221204797408e-01,5.188227078842932993e-02,-3.438600978573358447e-02,-1.800013164279682873e-02,3.312359271191934518e+00,1.177679070559887742e-01,-2.478089355278759731e-01,5.428651476983387125e-02,3.667311487858743169e-02
2.060000000000000142e+01,-4.318785940222736458e-02,-1.821783194173281356e-02,3.384338683806467518e+00,9.197753518288506736e-02,-1.115524962814712223e-01,-3.452148318943537575e+00,8.176610227828645661e-01,5.642443122230834940e-02,-2.840095541576692639e-02,-1.797611588019951134e-02,7.099993376151432223e+00,-4.184956057803549366e-03,-3.435895269402759050e-02,5.969181632902076373e-02,3.127143826019140871e-02
