0.072,-0.00012384,-0.00015206,0.038274,-0.0064329,-0.0080063,1.033,-0.25211,-0.31753,13.707,0.36381,-0.28336,-0.17314
0.073,-0.00013053,-0.00016039,0.039321,-0.0066917,-0.0083322,1.0467,-0.25874,-0.32594,13.689,0.36857,-0.28706,-0.17539
0.074,-0.00013749,-0.00016906,0.040381,-0.0069571,-0.0086667,1.0604,-0.26546,-0.33444,13.672,0.37332,-0.29075,-0.17763
0.075,-0.00014472,-0.00017806,0.041456,-0.0072294,-0.0090097,1.0741,-0.27225,-0.34304,13.654,0.37806,-0.29444,-0.17986
0.076,-0.00015223,-0.00018743,0.042543,-0.0075085,-0.0093614,1.0877,-0.27912,-0.35174,13.636,0.38279,-0.29812,-0.18209
0.077,-0.00016002,-0.00019715,0.043645,-0.0077946,-0.009722,1.1013,-0.28608,-0.36054,13.619,0.38751,-0.3018,-0.18431
0.078,-0.00016811,-0.00020724,0.044759,-0.0080877,-0.010091,1.1149,-0.29311,-0.36943,13.601,0.39222,-0.30547,-0.18653
0.079,-0.0001765,-0.00021771,0.045888,-0.0083879,-0.01047,1.1285,-0.30021,-0.37841,13.584,0.39692,-0.30914,-0.18874
0.08,-0.00018519,-0.00022857,0.04703,-0.0086953,-0.010857,1.1421,-0.3074,-0.38749,13.566,0.40162,-0.3128,-0.19095
0.081,-0.0001942,-0.00023982,0.048186,-0.00901,-0.011254,1.1556,-0.31467,-0.39667,13.549,0.4063,-0.31646,-0.19315
0.082,-0.00020353,-0.00025148,0.049355,-0.009332,-0.01166,1.1691,-0.32201,-0.40594,13.531,0.41097,-0.32011,-0.19535
0.083,-0.00021319,-0.00026356,0.050537,-0.0096614,-0.012075,1.1827,-0.32943,-0.4153,13.514,0.41563,-0.32376,-0.19754
0.084,-0.00022319,-0.00027606,0.051734,-0.0099983,-0.0125,1.1962,-0.33693,-0.42476,13.496,0.42029,-0.3274,-0.19972
0.085,-0.00023354,-0.00028899,0.052943,-0.010343,-0.012934,1.2096,-0.3445,-0.4343,13.479,0.42493,-0.33104,-0.2019
0.086,-0.00024423,-0.00030237,0.054166,-0.010695,-0.013378,1.2231,-0.35215,-0.44394,13.461,0.42956,-0.33467,-0.20407
0.087,-0.00025529,-0.0003162,0.055403,-0.011055,-0.013832,1.2365,-0.35988,-0.45367,13.444,0.43419,-0.3383,-0.20624
0.088,-0.00026671,-0.0003305,0.056653,-0.011423,-0.014295,1.25,-0.36768,-0.4635,13.426,0.4388,-0.34192,-0.2084
0.089,-0.00027851,-0.00034526,0.057916,-0.011798,-0.014769,1.2634,-0.37556,-0.47341,13.409,0.4434,-0.34554,-0.21056
0.09,-0.00029069,-0.00036052,0.059193,-0.012182,-0.015252,1.2768,-0.38352,-0.48341,13.391,0.44799,-0.34915,-0.21271
0.091,-0.00030326,-0.00037626,0.060483,-0.012573,-0.015746,1.2901,-0.39155,-0.4935,13.374,0.45258,-0.35276,-0.21485
0.092,-0.00031623,-0.00039251,0.061787,-0.012973,-0.016249,1.3035,-0.39966,-0.50369,13.357,0.45715,-0.35636,-0.21699
