Iteration,x,y,z,vx,vy,vz,theta_x,theta_y,theta_z,omega_x,omega_y,omega_z,thrust,a,b
86,-0.004016,0.085916,-0.000087,-0.022391,0.468342,-0.000462,0.000023,-0.000031,-0.000016,0.000124,-0.000133,-0.000074,0.000000,0.000000,0.000000
87,-0.004081,0.086560,-0.000087,-0.022644,0.469385,-0.000459,0.000024,-0.000034,-0.000008,0.000142,-0.000181,-0.000061,0.000000,0.000000,0.000000
88,-0.004146,0.087200,-0.000086,-0.022890,0.470388,-0.000455,0.000018,-0.000035,-0.000006,0.000127,-0.000193,-0.000030,0.000000,0.000000,0.000000
89,-0.004212,0.087834,-0.000086,-0.023138,0.471356,-0.000451,0.000023,-0.000040,-0.000001,0.000125,-0.000208,-0.000008,0.000000,0.000000,0.000000
90,-0.004280,0.088461,-0.000085,-0.023393,0.472276,-0.000446,0.000021,-0.000042,-0.000001,0.000133,-0.000227,0.000006,0.000000,0.000000,0.000000
91,-0.004351,0.089082,-0.000085,-0.023659,0.473146,-0.000439,0.000019,-0.000045,-0.000001,0.000119,-0.000242,0.000004,0.000000,0.000000,0.000000
92,-0.004422,0.089696,-0.000084,-0.023929,0.473970,-0.000434,0.000018,-0.000046,0.000001,0.000110,-0.000252,0.000009,0.000000,0.000000,0.000000
93,-0.004492,0.090309,-0.000083,-0.024195,0.474767,-0.000426,0.000026,-0.000052,0.000010,0.000130,-0.000268,0.000041,0.000000,0.000000,0.000000
94,-0.004558,0.090919,-0.000081,-0.024444,0.475543,-0.000415,0.000017,-0.000053,0.000012,0.000126,-0.000285,0.000071,0.000000,0.000000,0.000000
95,-0.004622,0.091524,-0.000079,-0.024673,0.476289,-0.000402,0.000021,-0.000053,0.000010,0.000111,-0.000286,0.000070,0.000000,0.000000,0.000000
96,-0.004686,0.092122,-0.000077,-0.024897,0.476995,-0.000389,0.000022,-0.000055,0.000013,0.000122,-0.000292,0.000073,0.000000,0.000000,0.000000
97,-0.004753,0.092719,-0.000076,-0.025126,0.477671,-0.000377,0.000025,-0.000060,0.000017,0.000133,-0.000311,0.000094,0.000000,0.000000,0.000000
98,-0.004817,0.093311,-0.000074,-0.025353,0.478324,-0.000365,0.000028,-0.000057,0.000020,0.000150,-0.000314,0.000115,0.000000,0.000000,0.000000
99,-0.004880,0.093897,-0.000072,-0.025567,0.478941,-0.000354,0.000025,-0.000059,0.000021,0.000149,-0.000311,0.000125,0.000000,0.000000,0.000000
100,-0.004943,0.094479,-0.000070,-0.025773,0.479524,-0.000342,0.000025,-0.000060,0.000021,0.000140,-0.000319,0.000126,0.000000,0.000000,0.000000
101,-0.005009,0.095052,-0.000069,-0.025987,0.480063,-0.000330,0.000029,-0.000061,0.000022,0.000151,-0.000320,0.000127,0.000000,0.000000,0.000000
102,-0.005077,0.095622,-0.000066,-0.026214,0.480565,-0.000316,0.000027,-0.000064,0.000030,0.000156,-0.000329,0.000152,0.000000,0.000000,0.000000
103,-0.005140,0.096184,-0.000064,-0.026429,0.481033,-0.000301,0.000027,-0.000059,0.000035,0.000151,-0.000323,0.000187,0.000000,0.000000,0.000000
104,-0.005202,0.096740,-0.000062,-0.026626,0.481458,-0.000287,0.000030,-0.000057,0.000032,0.000157,-0.000300,0.000190,0.000000,0.000000,0.000000
105,-0.005262,0.097291,-0.000060,-0.026816,0.481851,-0.000274,0.000031,-0.000059,0.000033,0.000168,-0.000298,0.000185,0.000000,0.000000,0.000000
106,-0.005322,0.097838,-0.000058,-0.026998,0.482216,-0.000262,0.000030,-0.000060,0.000041,0.000169,-0.000305,0.000210,0.000000,0.000000,0.000000
107,-0.005380,0.098381,-0.000056,-0.027171,0.482552,-0.000250,0.000030,-0.000064,0.000045,0.000164,-0.000318,0.000241,0.000000,0.000000,0.000000
108,-0.005434,0.098918,-0.000054,-0.027324,0.482860,-0.000239,0.000037,-0.000062,0.000048,0.000181,-0.000321,0.000257,0.000000,0.000000,0.000000
109,-0.005485,0.099451,-0.000052,-0.027461,0.483138,-0.000227,0.000038,-0.000065,0.000048,0.000201,-0.000321,0.000263,0.000000,0.000000,0.000000
110,-0.005537,0.099979,-0.000049,-0.027590,0.483389,-0.000212,0.000035,-0.000061,0.000047,0.000193,-0.000318,0.000259,0.000000,0.000000,0.000000
111,-0.005588,0.100504,-0.000046,-0.027718,0.483618,-0.000196,0.000032,-0.000062,0.000048,0.000178,-0.000309,0.000258,0.000000,0.000000,0.000000
112,-0.005643,0.101024,-0.000043,-0.027854,0.483822,-0.000179,0.000027,-0.000065,0.000048,0.000157,-0.000318,0.000258,0.000000,0.000000,0.000000
113,-0.005698,0.101540,-0.000040,-0.027998,0.483999,-0.000162,0.000026,-0.000068,0.000046,0.000139,-0.000332,0.000253,0.000000,0.000000,0.000000
114,-0.005755,0.102051,-0.000037,-0.028146,0.484152,-0.000145,0.000026,-0.000075,0.000040,0.000134,-0.000356,0.000232,0.000000,0.000000,0.000000
115,-0.005810,0.102560,-0.000034,-0.028292,0.484287,-0.000127,0.000021,-0.000075,0.000041,0.000119,-0.000375,0.000217,0.000000,0.000000,0.000000
116,-0.005867,0.103068,-0.000030,-0.028436,0.484412,-0.000108,0.000025,-0.000074,0.000039,0.000118,-0.000369,0.000213,0.000000,0.000000,0.000000
117,-0.005925,0.103572,-0.000027,-0.028588,0.484521,-0.000089,0.000026,-0.000075,0.000038,0.000130,-0.000366,0.000204,0.000000,0.000000,0.000000
118,-0.005980,0.104073,-0.000023,-0.028736,0.484611,-0.000070,0.000022,-0.000073,0.000033,0.000121,-0.000362,0.000187,0.000000,0.000000,0.000000
119,-0.006038,0.104570,-0.000019,-0.028881,0.484684,-0.000050,0.000023,-0.000067,0.000035,0.000113,-0.000339,0.000176,0.000000,0.000000,0.000000
120,-0.006095,0.105064,-0.000015,-0.029027,0.484737,-0.000028,0.000025,-0.000063,0.000032,0.000121,-0.000311,0.000174,-0.000000,0.000000,0.000000
121,-0.006151,0.105555,-0.000011,-0.029170,0.484774,-0.000006,0.000025,-0.000063,0.000031,0.000127,-0.000300,0.000163,-0.000000,0.000000,0.000000
122,-0.006211,0.106043,-0.000006,-0.029321,0.484795,0.000016,0.000025,-0.000064,0.000032,0.000125,-0.000300,0.000162,0.000000,0.000000,0.000000
123,-0.006271,0.106527,-0.000002,-0.029479,0.484797,0.000038,0.000032,-0.000063,0.000040,0.000141,-0.000298,0.000185,0.000000,0.000000,0.000000
124,-0.006329,0.107006,0.000002,-0.029629,0.484777,0.000059,0.000026,-0.000062,0.000043,0.000144,-0.000291,0.000213,0.000000,0.000000,0.000000
125,-0.006387,0.107482,0.000006,-0.029775,0.484738,0.000081,0.000036,-0.000066,0.000042,0.000153,-0.000297,0.000216,0.000000,0.000000,0.000000
126,-0.006446,0.107956,0.000010,-0.029922,0.484687,0.000101,0.000032,-0.000072,0.000040,0.000166,-0.000322,0.000205,0.000000,0.000000,0.000000
127,-0.006504,0.108428,0.000014,-0.030066,0.484624,0.000121,0.000030,-0.000071,0.000040,0.000149,-0.000334,0.000200,0.000000,0.000000,0.000000
128,-0.006559,0.108894,0.000018,-0.030198,0.484541,0.000139,0.000037,-0.000068,0.000038,0.000161,-0.000322,0.000195,0.000000,0.000000,0.000000
129,-0.006611,0.109358,0.000022,-0.030314,0.484441,0.000159,0.000031,-0.000066,0.000032,0.000165,-0.000308,0.000174,0.000000,0.000000,0.000000
130,-0.006659,0.109819,0.000026,-0.030414,0.484326,0.000179,0.000038,-0.000063,0.000030,0.000166,-0.000294,0.000153,0.000000,0.000000,0.000000
131,-0.006708,0.110275,0.000031,-0.030506,0.484192,0.000199,0.000032,-0.000058,0.000029,0.000169,-0.000272,0.000144,0.000000,0.000000,0.000000
132,-0.006757,0.110729,0.000035,-0.030596,0.484042,0.000219,0.000034,-0.000064,0.000026,0.000159,-0.000274,0.000132,0.000000,0.000000,0.000000
133,-0.006805,0.111178,0.000039,-0.030687,0.483877,0.000239,0.000030,-0.000064,0.000022,0.000152,-0.000287,0.000115,0.000000,0.000000,0.000000
134,-0.006859,0.111625,0.000044,-0.030788,0.483696,0.000260,0.000030,-0.000067,0.000022,0.000142,-0.000291,0.000107,0.000000,0.000000,0.000000
135,-0.006912,0.112069,0.000048,-0.030900,0.483501,0.000281,0.000027,-0.000065,0.000025,0.000134,-0.000292,0.000113,0.000000,0.000000,0.000000
136,-0.006967,0.112511,0.000052,-0.031016,0.483296,0.000302,0.000022,-0.000069,0.000031,0.000114,-0.000297,0.000133,0.000000,0.000000,0.000000
137,-0.007023,0.112948,0.000057,-0.031136,0.483076,0.000322,0.000021,-0.000075,0.000036,0.000097,-0.000320,0.000159,0.000000,0.000000,0.000000
138,-0.007076,0.113381,0.000061,-0.031249,0.482838,0.000343,0.000025,-0.000068,0.000035,0.000104,-0.000315,0.000168,0.000000,0.000000,0.000000
139,-0.007129,0.113810,0.000066,-0.031357,0.482581,0.000365,0.000035,-0.000063,0.000036,0.000137,-0.000283,0.000167,0.000000,0.000000,0.000000
140,-0.007182,0.114235,0.000071,-0.031464,0.482305,0.000387,0.000040,-0.000060,0.000042,0.000174,-0.000263,0.000184,0.000000,0.000000,0.000000
141,-0.007235,0.114657,0.000076,-0.031569,0.482014,0.000409,0.000034,-0.000058,0.000047,0.000173,-0.000252,0.000212,0.000000,0.000000,0.000000
142,-0.007287,0.115076,0.000081,-0.031670,0.481711,0.000431,0.000026,-0.000063,0.000041,0.000136,-0.000258,0.000208,0.000000,0.000000,0.000000
143,-0.007338,0.115494,0.000086,-0.031765,0.481400,0.000453,0.000026,-0.000062,0.000046,0.000115,-0.000266,0.000203,0.000000,0.000000,0.000000
144,-0.007389,0.115908,0.000091,-0.031857,0.481080,0.000476,0.000027,-0.000056,0.000039,0.000118,-0.000247,0.000198,0.000000,0.000000,0.000000
145,-0.007439,0.116318,0.000097,-0.031948,0.480741,0.000499,0.000018,-0.000059,0.000043,0.000097,-0.000237,0.000191,0.000000,0.000000,0.000000
146,-0.007492,0.116722,0.000103,-0.032042,0.480382,0.000524,0.000017,-0.000068,0.000044,0.000072,-0.000265,0.000201,0.000000,0.000000,0.000000
147,-0.007544,0.117124,0.000108,-0.032138,0.480009,0.000549,0.000012,-0.000066,0.000047,0.000058,-0.000282,0.000208,0.000000,0.000000,0.000000
