time,x,y,z,vx,vy,vz,att_x,att_y,att_z,thrust,gimbal_a,gimbal_b
3.300000000000000266e+00,1.393507771987110080e-03,-3.450179444871860346e-01,3.701128739345227459e+00,4.613674037043319701e-03,-1.034349204772532005e+00,9.489222057568090785e-01,-3.788451415154045487e-02,1.912724777807461862e-03,1.842851344038362420e-03,1.092532259081991342e+01,2.617993955727184741e-01,0.000000000000000000e+00
3.400000000000000355e+00,2.086343465916181555e-03,-4.722617707563974143e-01,3.796493155633752892e+00,6.928356939290713015e-03,-1.272438262692113575e+00,9.536441628852528885e-01,-5.188603407107798132e-02,2.831936927969458395e-03,2.683692622130062419e-03,1.099713215354837459e+01,2.617388140730902424e-01,0.000000000000000000e+00
3.500000000000000000e+00,3.110265433199049627e-03,-6.165452808702310827e-01,3.896191180624480221e+00,1.023921967282867725e-02,-1.442835101138336906e+00,9.969802499072745183e-01,-6.919581719021362931e-02,4.149628516062264794e-03,3.851838216929700989e-03,1.141313149733467824e+01,2.617741886868870660e-01,0.000000000000000000e+00
3.600000000000000089e+00,4.605907266983767789e-03,-7.756509743683684954e-01,3.998477352889945102e+00,1.495641833784717642e-02,-1.591056934981374349e+00,1.022861722654647254e+00,-8.982013379815868837e-02,5.870307411216302285e-03,5.319871314394497737e-03,1.130928314961334102e+01,2.614428275352824182e-01,0.000000000000000000e+00
3.700000000000000178e+00,6.697878415445198200e-03,-9.435837502882916672e-01,4.096940517592549291e+00,2.091971148461430410e-02,-1.679327759199231718e+00,9.846316470260387810e-01,-1.140497285297363828e-01,8.032203096359769035e-03,7.082143440465389801e-03,1.103653663171436783e+01,2.615273703705929820e-01,0.000000000000000000e+00
3.800000000000000266e+00,9.675623619484475385e-03,-1.121964490485421351e+00,4.199117063411924811e+00,2.977745204039276145e-02,-1.783807401971296613e+00,1.021765458193756970e+00,-1.415182936632081723e-01,1.077958400122502880e-02,9.205976994324684484e-03,1.144805139777536063e+01,2.617901830476170866e-01,0.000000000000000000e+00
3.900000000000000355e+00,1.389045491526700801e-02,-1.316034417173473914e+00,4.304746560648710307e+00,4.214831295782532627e-02,-1.940699266880525409e+00,1.056294972367855411e+00,-1.715161449667660931e-01,1.415337382895209828e-02,1.166222175955964474e-02,1.162950803513361109e+01,2.617914073371290784e-01,0.000000000000000000e+00
4.000000000000000000e+00,1.929254392907432322e-02,-1.506257351666851152e+00,4.401958286462247294e+00,5.402089013807313822e-02,-1.902229344933772159e+00,9.721172581353735298e-01,-2.054152473701782444e-01,1.809896057792581558e-02,1.434904091681863184e-02,1.074111407697606602e+01,2.584365285900817599e-01,0.000000000000000000e+00
4.100000000000000533e+00,2.628569096012093806e-02,-1.691365327503984606e+00,4.496380728316766273e+00,6.993147031046614837e-02,-1.851079758371335648e+00,9.442244185451895699e-01,-2.428919657413180222e-01,2.265472358865960878e-02,1.722332424232443995e-02,1.062009801679946719e+01,2.605165574128947559e-01,0.000000000000000000e+00
4.200000000000000178e+00,3.532841569432275397e-02,-1.867136721727741699e+00,4.595317699893239016e+00,9.042724734201815218e-02,-1.757713942237570270e+00,9.893697157647278750e-01,-2.840917325675664795e-01,2.791794308579120809e-02,2.026945106976715122e-02,1.120217433811710173e+01,2.617940065608054256e-01,0.000000000000000000e+00
4.299999999999999822e+00,4.697927327687712040e-02,-2.035580895722018724e+00,4.698573029624397712e+00,1.165085758255436366e-01,-1.684441739942768246e+00,1.032553297311584739e+00,-3.283495249540269723e-01,3.392151713372126842e-02,2.341582911848727466e-02,1.109425993178844827e+01,2.617945316932693833e-01,0.000000000000000000e+00
4.400000000000000355e+00,6.166599124679054966e-02,-2.192802143820581584e+00,4.805079688555219164e+00,1.468671796991342648e-01,-1.572212480985628158e+00,1.065066589308212519e+00,-3.755167584348771403e-01,4.068890177407946673e-02,2.658552520938129923e-02,1.088581414830402316e+01,2.617950631216899859e-01,0.000000000000000000e+00
4.500000000000000000e+00,8.006760353839657840e-02,-2.340029970729084585e+00,4.911686815131382389e+00,1.840161229160602596e-01,-1.472278269085028235e+00,1.066071265761635134e+00,-4.249423676758264379e-01,4.818258067857361659e-02,2.966188809658709680e-02,1.057309460392735190e+01,2.579986272552671211e-01,0.000000000000000000e+00
4.600000000000000533e+00,1.016778286011412596e-01,-2.471350481839208690e+00,5.000314757051727454e+00,2.161022506274468125e-01,-1.313205111101240830e+00,8.862794192034524343e-01,-4.764522356482409626e-01,5.639825250660002176e-02,3.257052509662411444e-02,8.647357159451878772e+00,2.571140600833879408e-01,0.000000000000000000e+00
4.700000000000000178e+00,1.275872971374072962e-01,-2.580879073064427320e+00,5.082817948969936772e+00,2.590946853626602264e-01,-1.095285912252185190e+00,8.250319191820925102e-01,-5.302085832351876027e-01,6.537566146328965822e-02,3.523611927378065417e-02,9.686265331751879870e+00,2.617175192111522164e-01,0.000000000000000000e+00
4.800000000000000711e+00,1.582228633409223928e-01,-2.666229927938047251e+00,5.154024474628338126e+00,3.063556620351508553e-01,-8.535085487361996348e-01,7.120652565840160930e-01,-5.859520512908590328e-01,7.512679750087625230e-02,3.756205245361747547e-02,9.222863906151705038e+00,2.617192372179499293e-01,0.000000000000000000e+00
