Time,X,Y,Z,Vx,Vy,Vz,Mass,Thrust_X,Thrust_Y,Thrust_Z,Thrust_Mag
1.7000000000000002,0.0,0.0,43.46172409715292,0.0,0.0,-4.699248783233048,72.09950722650444,0.0,0.0,709.5152079265046,709.5152079265046
1.75,0.0,0.0,43.22676165799127,0.0,0.0,-4.697542408613889,72.07941955054613,0.0,0.0,709.200955043626,709.200955043626
1.8,0.0,0.0,42.99188453756058,0.0,0.0,-4.69591689933338,72.05934077120314,0.0,0.0,708.8726010746685,708.8726010746685
1.85,0.0,0.0,42.75708869259391,0.0,0.0,-4.694382145561643,72.03927128764732,0.0,0.0,708.5356742954083,708.5356742954083
1.9000000000000001,0.0,0.0,42.522369585315836,0.0,0.0,-4.692944211442258,72.01921134255666,0.0,0.0,708.1945978174004,708.1945978174004
1.9500000000000002,0.0,0.0,42.28772237474373,0.0,0.0,-4.691606097021824,71.99916105340021,0.0,0.0,707.8528274540399,707.8528274540399
2.0,0.0,0.0,42.053142069892644,0.0,0.0,-4.690368405718455,71.97912043982043,0.0,0.0,707.5129945098429,707.5129945098429
2.0500000000000003,0.0,0.0,41.81862364960673,0.0,0.0,-4.689229913723371,71.95908944697277,0.0,0.0,707.1770437226076,707.1770437226076
2.1,0.0,0.0,41.58416215392056,0.0,0.0,-4.688188044510617,71.93906796496152,0.0,0.0,706.8463599064339,706.8463599064339
2.15,0.0,0.0,41.349752751695036,0.0,0.0,-4.687239256121734,71.91905584468941,0.0,0.0,706.5218802477901,706.5218802477901
2.2,0.0,0.0,41.11539078888895,0.0,0.0,-4.6863793510284735,71.89905291052965,0.0,0.0,706.2041914210606,706.2041914210606
2.25,0.0,0.0,40.881071821337535,0.0,0.0,-4.685603718978492,71.8790589702481,0.0,0.0,705.8936108342053,705.8936108342053
2.3000000000000003,0.0,0.0,40.64679163538861,0.0,0.0,-4.684907523731949,71.85907382262482,0.0,0.0,705.5902537790946,705.5902537790946
2.35,0.0,0.0,40.41254625920202,0.0,0.0,-4.684285843386711,71.83909726317684,0.0,0.0,705.2940871882122,705.2940871882122
2.4000000000000004,0.0,0.0,40.17833196703268,0.0,0.0,-4.683733773523296,71.81912908835699,0.0,0.0,705.0049724283215,705.0049724283215
2.45,0.0,0.0,39.94414527835653,0.0,0.0,-4.683246500729216,71.79916909854208,0.0,0.0,704.7226978141648,704.7226978141648
2.5,0.0,0.0,39.709982953320065,0.0,0.0,-4.682819353603665,71.77921710010212,0.0,0.0,704.4470038741334,704.4470038741334
2.5500000000000003,0.0,0.0,39.47584198563989,0.0,0.0,-4.682447836247413,71.75927290675153,0.0,0.0,704.1776015536634,704.1776015536634
2.6,0.0,0.0,39.24171959382752,0.0,0.0,-4.682127649124514,71.73933634038762,0.0,0.0,703.9141857200592,703.9141857200592
2.6500000000000004,0.0,0.0,39.0076132113713,0.0,0.0,-4.681854700545969,71.71940723154509,0.0,0.0,703.6564446683931,703.6564446683931
2.7,0.0,0.0,38.77352047634401,0.0,0.0,-4.681625111544976,71.69948541958257,0.0,0.0,703.404066648981,703.404066648981
2.75,0.0,0.0,38.539439220766766,0.0,0.0,-4.681435216207905,71.67957075268335,0.0,0.0,703.1567442729294,703.1567442729294
2.8000000000000003,0.0,0.0,38.30536745995637,0.0,0.0,-4.681281558932328,71.6596630877327,0.0,0.0,702.9141773399758,702.9141773399758
2.85,0.0,0.0,38.07130338200976,0.0,0.0,-4.681160889706986,71.63976229011375,0.0,0.0,702.6760747506385,702.6760747506385
2.9000000000000004,0.0,0.0,37.837245337524415,0.0,0.0,-4.6810701580489384,71.61986823344971,0.0,0.0,702.4421553489565,702.4421553489565
2.95,0.0,0.0,37.60319182962197,0.0,0.0,-4.681006506341915,71.59998079932336,0.0,0.0,702.2121486780802,702.2121486780802
3.0,0.0,0.0,37.36914150430488,0.0,0.0,-4.680967262635584,71.58009987697304,0.0,0.0,701.9857951052559,701.9857951052559
3.0500000000000003,0.0,0.0,37.1350931411731,0.0,0.0,-4.680949933345194,71.56022536298693,0.0,0.0,701.7628460384897,701.7628460384897
3.1,0.0,0.0,36.90104564450585,0.0,0.0,-4.680952195787374,71.54035716099037,0.0,0.0,701.5430637670714,701.5430637670714
3.1500000000000004,0.0,0.0,36.666998034716485,0.0,0.0,-4.680971890814681,71.52049518133771,0.0,0.0,701.326221488703,701.326221488703
3.2,0.0,0.0,36.432949440175754,0.0,0.0,-4.681007015418638,71.50063934080364,0.0,0.0,701.1121031625868,701.1121031625868
3.25,0.0,0.0,36.198899089404826,0.0,0.0,-4.681055715422966,71.48078956227842,0.0,0.0,700.9005033901802,700.9005033901802
3.3000000000000003,0.0,0.0,35.964846303633685,0.0,0.0,-4.681116278247794,71.46094577446696,0.0,0.0,700.6912272092901,700.6912272092901
3.35,0.0,0.0,35.730790489721294,0.0,0.0,-4.681187125805708,71.44110791159288,0.0,0.0,700.4840901416061,700.4840901416061
3.4000000000000004,0.0,0.0,35.49673113343101,0.0,0.0,-4.68126680735247,71.42127591310232,0.0,0.0,700.278917703071,700.278917703071
3.45,0.0,0.0,35.26266779306339,0.0,0.0,-4.681353992668443,71.40144972338024,0.0,0.0,700.0755454948769,700.0755454948769
3.5,0.0,0.0,35.02860009342998,0.0,0.0,-4.681447465164749,71.38162929146583,0.0,0.0,699.8738189053673,699.8738189053673
3.5500000000000003,0.0,0.0,34.79452772017174,0.0,0.0,-4.681546115186599,71.36181457077474,0.0,0.0,699.6735928198559,699.6735928198559
3.6,0.0,0.0,34.560450414412415,0.0,0.0,-4.681648933508636,71.34200551883056,0.0,0.0,699.4747314671782,699.4747314671782
3.6500000000000004,0.0,0.0,34.32636796773699,0.0,0.0,-4.681755004926842,71.32220209700043,0.0,0.0,699.2771080340782,699.2771080340782
3.7,0.0,0.0,34.092280217490654,0.0,0.0,-4.681863502109991,71.30240427024114,0.0,0.0,699.0806045241617,699.0806045241617
3.75,0.0,0.0,33.85818704238516,0.0,0.0,-4.681973679539635,71.28261200684979,0.0,0.0,698.8851112543387,698.8851112543387
3.8000000000000003,0.0,0.0,33.62408835840818,0.0,0.0,-4.682084867793105,71.26282527822845,0.0,0.0,698.6905266616134,698.6905266616134
3.85,0.0,0.0,33.38998411501853,0.0,0.0,-4.682196467952447,71.2430440586542,0.0,0.0,698.4967569470009,698.4967569470009
3.9000000000000004,0.0,0.0,33.15587429162091,0.0,0.0,-4.682307946253872,71.22326832505914,0.0,0.0,698.3037156497112,698.3037156497112
3.95,0.0,0.0,32.92175889430822,0.0,0.0,-4.682418829027118,71.20349805682312,0.0,0.0,698.1113233571434,698.1113233571434
4.0,0.0,0.0,32.687637952856875,0.0,0.0,-4.682528697829966,71.18373323557397,0.0,0.0,697.9195072521954,697.9195072521954
4.05,0.0,0.0,32.45351151796538,0.0,0.0,-4.682637184892547,71.16397384500095,0.0,0.0,697.7282008722125,697.7282008722125
4.1000000000000005,0.0,0.0,32.219379658720754,0.0,0.0,-4.682743968723364,71.14421987067439,0.0,0.0,697.5373436630442,697.5373436630442
4.15,0.0,0.0,31.98524246028459,0.0,0.0,-4.68284877002133,71.12447129987903,0.0,0.0,697.3468805740166,697.3468805740166
4.2,0.0,0.0,31.75110002178353,0.0,0.0,-4.682951347865688,71.10472812145824,0.0,0.0,697.1567618423655,697.1567618423655
4.25,0.0,0.0,31.516952454390246,0.0,0.0,-4.683051496051116,71.08499032566338,0.0,0.0,696.966942497151,696.966942497151
4.3,0.0,0.0,31.282799879587696,0.0,0.0,-4.683149039765605,71.06525790401953,0.0,0.0,696.777382174833,696.777382174833
4.3500000000000005,0.0,0.0,31.048642427599418,0.0,0.0,-4.683243832392547,71.04553084919378,0.0,0.0,696.5880446495498,696.5880446495498
4.4,0.0,0.0,30.814480235979797,0.0,0.0,-4.683335752638011,71.02580915487934,0.0,0.0,696.398897634166,696.398897634166
4.45,0.0,0.0,30.580313448347898,0.0,0.0,-4.68342470179328,71.00609281568279,0.0,0.0,696.2099124302606,696.2099124302606
4.5,0.0,0.0,30.346142213258243,0.0,0.0,-4.683510601239242,70.98638182702344,0.0,0.0,696.0210636152628,696.0210636152628
4.55,0.0,0.0,30.11196668319628,0.0,0.0,-4.683593390166984,70.96667618504034,0.0,0.0,695.8323289359455,695.8323289359455
4.6000000000000005,0.0,0.0,29.877787013687936,0.0,0.0,-4.683673023369606,70.94697588650217,0.0,0.0,695.6436887573389,695.6436887573389
4.65,0.0,0.0,29.64360336251946,0.0,0.0,-4.683749469418696,70.92728092873365,0.0,0.0,695.4551261561812,695.4551261561812
4.7,0.0,0.0,29.409415889048528,0.0,0.0,-4.683822708771893,70.90759130953862,0.0,0.0,695.2666264156649,695.2666264156649
4.75,0.0,0.0,29.17522475360994,0.0,0.0,-4.683892732233547,70.8879070271373,0.0,0.0,695.0781770049286,695.0781770049286
4.800000000000001,0.0,0.0,28.941030116998267,0.0,0.0,-4.68395953942727,70.86822808010466,0.0,0.0,694.8897673060208,694.8897673060208
4.8500000000000005,0.0,0.0,28.70683214002691,0.0,0.0,-4.68402313745856,70.84855446731652,0.0,0.0,694.7013884021311,694.7013884021311
4.9,0.0,0.0,28.472630983153984,0.0,0.0,-4.684083539724648,70.82888618790099,0.0,0.0,694.5130329068659,694.5130329068659
4.95,0.0,0.0,28.23842680616776,0.0,0.0,-4.684140764842871,70.80922324119499,0.0,0.0,694.324694904527,694.324694904527
5.0,0.0,0.0,28.004219767925616,0.0,0.0,-4.684194835619412,70.78956562670338,0.0,0.0,694.1363696583243,694.1363696583243
5.050000000000001,0.0,0.0,27.77001002614465,0.0,0.0,-4.684245778222427,70.76991334406456,0.0,0.0,693.9480535261332,693.9480535261332
5.1000000000000005,0.0,0.0,27.535797737233533,0.0,0.0,-4.684293621413295,70.75026639302064,0.0,0.0,693.7597439059064,693.7597439059064
5.15,0.0,0.0,27.301583056162873,0.0,0.0,-4.684338395815173,70.73062477338685,0.0,0.0,693.5714389692912,693.5714389692912
5.2,0.0,0.0,27.06736613637212,0.0,0.0,-4.684380133368625,70.7109884850306,0.0,0.0,693.3831376410764,693.3831376410764
5.25,0.0,0.0,26.83314712970369,0.0,0.0,-4.6844188668008835,70.69135752784926,0.0,0.0,693.1948394599136,693.1948394599136
5.300000000000001,0.0,0.0,26.598926186363652,0.0,0.0,-4.684454629192736,70.67173190175374,0.0,0.0,693.006544565117,693.006544565117
5.3500000000000005,0.0,0.0,26.364703454904017,0.0,0.0,-4.6844874535540235,70.65211160665083,0.0,0.0,692.8182534450027,692.8182534450027
5.4,0.0,0.0,26.130479082226323,0.0,0.0,-4.684517372576541,70.63249664243332,0.0,0.0,692.6299669502316,692.6299669502316
5.45,0.0,0.0,25.896253213597497,0.0,0.0,-4.684544418377059,70.6128870089701,0.0,0.0,692.4416862375733,692.4416862375733
5.5,0.0,0.0,25.66202599267865,0.0,0.0,-4.684568622279769,70.59328270609737,0.0,0.0,692.2534125904365,692.2534125904365
5.550000000000001,0.0,0.0,25.427797561564667,0.0,0.0,-4.684590014725449,70.57368373361496,0.0,0.0,692.0651473841137,692.0651473841137
5.6000000000000005,0.0,0.0,25.193568060828397,0.0,0.0,-4.684608625205128,70.55409009128351,0.0,0.0,691.8768921500249,691.8768921500249
5.65,0.0,0.0,24.959337629568147,0.0,0.0,-4.6846244821481005,70.53450177882075,0.0,0.0,691.6886481851016,691.6886481851016
