time,x,y,z,vx,vy,vz,thrust,a,b,xac,yac,zac,vxac,vyac,vzac
0.118,0,0,0.00148802,0,0,0.0254508,7.02579,0,0,-0.0251661,0.295971,4.77967e-05,-0.000222713,0.00261926,4.69615e-07
0.119,0,0,0.0015137,0,0,0.0256813,7.02598,0,0,-0.0251751,0.296077,4.90761e-05,-0.000221646,0.00260671,4.804e-07
0.12,0,0,0.00153961,0,0,0.025912,7.02617,0,0,-0.025184,0.296181,5.03778e-05,-0.000220587,0.00259426,4.91324e-07
0.121,0,0,0.00156575,0,0,0.0261431,7.02636,0,0,-0.0251927,0.296283,5.17019e-05,-0.000219536,0.00258189,5.02389e-07
0.122,0,0,0.00159213,0,0,0.0263743,7.02655,0,0,-0.0252013,0.296384,5.30487e-05,-0.000218492,0.00256961,5.13596e-07
0.123,0,0,0.00161873,0,0,0.0266059,7.02675,0,0,-0.0252098,0.296484,5.44184e-05,-0.000217455,0.00255742,5.24944e-07
0.124,0,0,0.00164557,0,0,0.0268377,7.02694,0,0,-0.0252181,0.296583,5.5811e-05,-0.000216426,0.00254532,5.36433e-07
0.125,0,0,0.00167264,0,0,0.0270698,7.02713,0,0,-0.0252264,0.296679,5.72268e-05,-0.000215404,0.0025333,5.48065e-07
0.126,0,0,0.00169994,0,0,0.0273022,7.02732,0,0,-0.0252345,0.296775,5.8666e-05,-0.000214389,0.00252136,5.5984e-07
0.127,0,0,0.00172748,0,0,0.0275349,7.02751,0,0,-0.0252425,0.296869,6.01287e-05,-0.000213381,0.00250951,5.71757e-07
0.128,0,0,0.00175525,0,0,0.0277678,7.0277,0,0,-0.0252504,0.296962,6.16151e-05,-0.00021238,0.00249774,5.83818e-07
0.129,0,0,0.00178325,0,0,0.028001,7.02789,0,0,-0.0252582,0.297054,6.31255e-05,-0.000211387,0.00248605,5.96023e-07
0.13,0,0,0.00181148,0,0,0.0282345,7.02808,0,0,-0.0252659,0.297145,6.46599e-05,-0.0002104,0.00247445,6.08372e-07
0.131,0,0,0.00183995,0,0,0.0284682,7.02827,0,0,-0.0252735,0.297234,6.62187e-05,-0.00020942,0.00246292,6.20866e-07
0.132,0,0,0.00186865,0,0,0.0287022,7.02847,0,0,-0.025281,0.297322,6.78018e-05,-0.000208447,0.00245148,6.33505e-07
0.133,0,0,0.00189759,0,0,0.0289365,7.02866,0,0,-0.0252884,0.297409,6.94096e-05,-0.00020748,0.00244011,6.46289e-07
0.134,0,0,0.00192676,0,0,0.0291711,7.02885,0,0,-0.0252957,0.297495,7.10423e-05,-0.000206521,0.00242882,6.59219e-07
0.135,0,0,0.00195616,0,0,0.0294059,7.02904,0,0,-0.0253029,0.29758,7.26999e-05,-0.000205568,0.00241761,6.72295e-07
0.136,0,0,0.00198581,0,0,0.029641,7.02923,0,0,-0.0253101,0.297664,7.43827e-05,-0.000204621,0.00240648,6.85518e-07
